# SYNTETYCZNE DANE -- nie sa to prawdziwe logi lotu. Wygenerowane przez
# generate_synthetic_flights.py do testow sanity, sigma_xy=0.3m sigma_z=0.5m.
segment,step,x,y,z,x_true,y_true,z_true
straight_climb,0,-0.0432,-0.0519,-0.0557,0.0,0.0,0.0
straight_climb,1,2.2106,0.9617,-0.2487,2.0,1.0,0.5
straight_climb,2,4.0997,1.9198,0.8915,4.0,2.0,1.0
straight_climb,3,6.0348,3.0697,2.0818,6.0,3.0,1.5
straight_climb,4,8.197,4.0332,1.6308,8.0,4.0,2.0
straight_climb,5,9.6956,5.0739,3.1555,10.0,5.0,2.5
straight_climb,6,12.0125,5.9681,3.2659,12.0,6.0,3.0
straight_climb,7,13.5639,6.9063,3.7452,14.0,7.0,3.5
straight_climb,8,16.262,7.9278,4.1883,16.0,8.0,4.0
straight_climb,9,18.0745,9.2347,3.9434,18.0,9.0,4.5
straight_climb,10,20.1705,9.5456,3.69,20.0,10.0,5.0
straight_climb,11,21.8179,10.7253,5.938,22.0,11.0,5.5
straight_climb,12,24.1993,11.6343,6.4237,24.0,12.0,6.0
straight_climb,13,25.6993,12.9741,6.3531,26.0,13.0,6.5
straight_climb,14,28.0343,14.2456,7.3192,28.0,14.0,7.0
straight_climb,15,30.105,15.195,7.7392,30.0,15.0,7.5
straight_climb,16,31.8119,15.7848,7.765,32.0,16.0,8.0
straight_climb,17,34.1498,16.925,9.6679,34.0,17.0,8.5
straight_climb,18,35.7542,17.6703,9.3842,36.0,18.0,9.0
straight_climb,19,38.4266,19.1517,9.9179,38.0,19.0,9.5
straight_climb,20,40.4279,19.9718,9.2885,40.0,20.0,10.0
straight_climb,21,41.8404,21.2859,9.7782,42.0,21.0,10.5
straight_climb,22,44.0101,22.076,10.8422,44.0,22.0,11.0
straight_climb,23,46.2171,23.1742,12.6607,46.0,23.0,11.5
straight_climb,24,48.186,23.8172,11.7191,48.0,24.0,12.0
straight_climb,25,49.7505,25.2857,12.2166,50.0,25.0,12.5
straight_climb,26,51.9789,26.2248,12.6383,52.0,26.0,13.0
straight_climb,27,53.9119,26.4476,12.9588,54.0,27.0,13.5
straight_climb,28,55.8297,28.1247,14.5967,56.0,28.0,14.0
straight_climb,29,57.9945,29.0784,14.584,58.0,29.0,14.5
straight_climb,30,60.3254,30.268,15.1368,60.0,30.0,15.0
straight_climb,31,61.6967,31.271,15.6905,62.0,31.0,15.5
straight_climb,32,64.3681,31.991,16.9766,64.0,32.0,16.0
straight_climb,33,65.8923,33.4779,16.5576,66.0,33.0,16.5
straight_climb,34,67.8451,33.6615,16.9245,68.0,34.0,17.0
straight_climb,35,70.427,35.2449,17.8444,70.0,35.0,17.5
straight_climb,36,71.2872,36.2133,18.2779,72.0,36.0,18.0
straight_climb,37,73.835,36.8118,18.4988,74.0,37.0,18.5
straight_climb,38,76.5175,37.6835,18.7861,76.0,38.0,19.0
straight_climb,39,78.4085,38.8662,19.3179,78.0,39.0,19.5
straight_climb,40,80.0293,39.6276,20.11,80.0,40.0,20.0
straight_climb,41,81.6371,41.2656,20.5016,82.0,41.0,20.5
straight_climb,42,84.685,42.0843,21.6828,84.0,42.0,21.0
straight_climb,43,85.609,42.9634,21.6616,86.0,43.0,21.5
straight_climb,44,88.5237,43.4957,22.4953,88.0,44.0,22.0
straight_climb,45,90.1774,45.4601,22.8562,90.0,45.0,22.5
straight_climb,46,92.0156,45.8435,22.3759,92.0,46.0,23.0
straight_climb,47,94.0586,46.9425,24.5101,94.0,47.0,23.5
straight_climb,48,95.8167,48.0961,23.2155,96.0,48.0,24.0
straight_climb,49,97.8814,49.0783,24.912,98.0,49.0,24.5
straight_climb,50,100.4344,49.9868,24.4414,100.0,50.0,25.0
straight_climb,51,102.1374,51.1551,25.7458,102.0,51.0,25.5
straight_climb,52,103.7899,52.34,26.0439,104.0,52.0,26.0
straight_climb,53,106.2099,53.3822,26.8046,106.0,53.0,26.5
straight_climb,54,108.086,54.6458,27.1219,108.0,54.0,27.0
straight_climb,55,109.9112,55.0336,28.2414,110.0,55.0,27.5
straight_climb,56,112.0356,56.1558,28.5979,112.0,56.0,28.0
straight_climb,57,113.8461,56.482,28.6497,114.0,57.0,28.5
straight_climb,58,116.0689,57.8176,29.4355,116.0,58.0,29.0
straight_climb,59,118.1823,58.7015,29.7591,118.0,59.0,29.5
level_turn,0,29.9412,-0.4449,50.2265,30.0,0.0,50.0
level_turn,1,29.9489,1.2758,50.2615,29.9625,1.4994,50.0
level_turn,2,29.9966,2.8217,50.2002,29.8501,2.995,50.0
level_turn,3,29.9677,4.2693,50.1904,29.6631,4.4831,50.0
level_turn,4,29.4028,6.6399,49.0688,29.402,5.9601,50.0
level_turn,5,29.276,7.3302,49.9499,29.0674,7.4221,50.0
level_turn,6,29.2306,8.863,51.1205,28.6601,8.8656,50.0
level_turn,7,28.0485,10.3921,49.7546,28.1812,10.2869,50.0
level_turn,8,27.4246,11.7013,49.8587,27.6318,11.6826,50.0
level_turn,9,27.0742,12.4175,51.0012,27.0134,13.049,50.0
level_turn,10,26.2774,14.9056,49.4964,26.3275,14.3828,50.0
level_turn,11,25.6635,16.6301,49.5651,25.5757,15.6806,50.0
level_turn,12,24.3115,16.7753,50.2362,24.7601,16.9393,50.0
level_turn,13,24.0905,18.5427,49.8715,23.8825,18.1556,50.0
level_turn,14,22.4646,19.196,50.6201,22.9453,19.3265,50.0
level_turn,15,22.0904,19.8621,49.9825,21.9507,20.4492,50.0
level_turn,16,21.3207,22.1586,50.2808,20.9012,21.5207,50.0
level_turn,17,19.8923,22.1664,49.5784,19.7995,22.5384,50.0
level_turn,18,18.6624,23.6508,50.2901,18.6483,23.4998,50.0
level_turn,19,17.307,24.0569,49.6111,17.4505,24.4025,50.0
level_turn,20,15.862,25.4372,48.8439,16.2091,25.2441,50.0
level_turn,21,14.8271,26.1577,50.761,14.9271,26.0227,50.0
level_turn,22,13.6293,27.0366,49.8005,13.6079,26.7362,50.0
level_turn,23,12.0313,27.1806,50.7637,12.2546,27.3829,50.0
level_turn,24,11.169,28.1074,51.6651,10.8707,27.9612,50.0
level_turn,25,9.45,28.6556,50.1538,9.4597,28.4695,50.0
level_turn,26,7.9584,29.6016,50.7533,8.025,28.9067,50.0
level_turn,27,6.1504,29.1517,50.2142,6.5702,29.2717,50.0
level_turn,28,5.334,29.159,48.8722,5.099,29.5635,50.0
level_turn,29,3.0432,29.7601,49.9484,3.6151,29.7814,50.0
level_turn,30,2.2257,29.6939,49.3879,2.1221,29.9248,50.0
level_turn,31,0.0169,30.0923,50.185,0.6238,29.9935,50.0
level_turn,32,-0.5781,30.2244,49.9046,-0.876,29.9872,50.0
level_turn,33,-1.9688,29.865,49.6696,-2.3736,29.906,50.0
level_turn,34,-4.0215,29.5745,48.9171,-3.8653,29.7499,50.0
level_turn,35,-5.3005,29.5945,49.8189,-5.3474,29.5196,50.0
level_turn,36,-7.0302,29.327,50.8584,-6.8161,29.2154,50.0
level_turn,37,-8.2562,28.686,49.7043,-8.2677,28.8383,50.0
level_turn,38,-9.7196,28.0096,49.9374,-9.6987,28.389,50.0
level_turn,39,-11.0871,28.4222,50.4717,-11.1054,27.8688,50.0
level_turn,40,-12.1742,27.065,50.335,-12.4844,27.2789,50.0
level_turn,41,-14.174,26.7145,50.2094,-13.8322,26.6209,50.0
level_turn,42,-15.3753,26.4961,50.2837,-15.1454,25.8963,50.0
level_turn,43,-16.9915,25.2728,49.7963,-16.4207,25.107,50.0
level_turn,44,-17.6546,24.3946,50.1953,-17.655,24.2549,50.0
level_turn,45,-19.457,22.9947,50.3863,-18.8452,23.3422,50.0
level_turn,46,-19.5979,22.9421,50.9016,-19.9883,22.3712,50.0
level_turn,47,-21.6981,21.575,49.0419,-21.0814,21.3442,50.0
level_turn,48,-21.6377,20.3399,49.4294,-22.1218,20.2639,50.0
level_turn,49,-22.504,19.3261,49.0544,-23.1069,19.1329,50.0
level_turn,50,-23.9463,17.7348,50.0556,-24.0343,17.9542,50.0
level_turn,51,-25.0412,17.1426,49.2884,-24.9016,16.7305,50.0
level_turn,52,-25.6114,16.0093,49.5865,-25.7067,15.465,50.0
level_turn,53,-26.3843,14.2215,49.6551,-26.4475,14.1609,50.0
level_turn,54,-26.9278,12.8505,49.5281,-27.1222,12.8214,50.0
level_turn,55,-27.2005,11.6873,49.9164,-27.7291,11.4498,50.0
level_turn,56,-28.4577,9.8143,50.6155,-28.2667,10.0496,50.0
level_turn,57,-28.7776,8.7622,49.9078,-28.7336,8.6243,50.0
level_turn,58,-28.9438,7.1427,50.3819,-29.1287,7.1775,50.0
level_turn,59,-29.506,5.9616,50.3362,-29.4511,5.7127,50.0
level_turn,60,-29.7348,3.9757,49.5299,-29.6998,4.2336,50.0
level_turn,61,-30.0965,2.4486,50.4329,-29.8742,2.7439,50.0
