# SYNTETYCZNE DANE -- nie sa to prawdziwe logi lotu. Wygenerowane przez
# generate_synthetic_maneuvers.py do kalibracji/testow maneuver_classifier.py.
segment,step,x,y,z,x_true,y_true,z_true
tight_corkscrew,0,3.4496,0.1111,0.3444,3.0,0.0,0.0
tight_corkscrew,1,3.2291,0.1967,-0.632,2.9663,0.4483,0.15
tight_corkscrew,2,2.5288,0.9887,0.8283,2.866,0.8866,0.3
tight_corkscrew,3,2.7397,0.8969,1.1528,2.7013,1.3049,0.45
tight_corkscrew,4,1.9944,1.5475,0.315,2.476,1.6939,0.6
tight_corkscrew,5,2.2702,2.3741,0.0036,2.1951,2.0449,0.75
tight_corkscrew,6,1.7691,2.4446,0.3165,1.8648,2.35,0.9
tight_corkscrew,7,1.4653,2.6588,0.3823,1.4927,2.6023,1.05
tight_corkscrew,8,0.6949,2.7797,1.0867,1.0871,2.7961,1.2
tight_corkscrew,9,0.7234,3.5906,1.7975,0.657,2.9272,1.35
tight_corkscrew,10,0.3457,2.7794,1.9652,0.2122,2.9925,1.5
tight_corkscrew,11,-0.472,3.4614,2.2434,-0.2374,2.9906,1.65
tight_corkscrew,12,-1.283,2.569,1.7044,-0.6816,2.9215,1.8
tight_corkscrew,13,-1.231,2.4086,1.3372,-1.1105,2.7869,1.95
tight_corkscrew,14,-1.2979,2.43,1.3356,-1.5145,2.5896,2.1
tight_corkscrew,15,-1.9687,2.6251,3.0915,-1.8845,2.3342,2.25
tight_corkscrew,16,-2.1936,1.932,1.9978,-2.2122,2.0264,2.4
tight_corkscrew,17,-2.6463,1.833,3.1767,-2.4902,1.6731,2.55
tight_corkscrew,18,-2.3392,1.209,3.1425,-2.7122,1.2821,2.7
tight_corkscrew,19,-2.6443,0.9985,1.6246,-2.8734,0.8624,2.85
tight_corkscrew,20,-2.9889,0.3383,3.6637,-2.97,0.4234,3.0
tight_corkscrew,21,-3.0848,0.1101,3.2808,-2.9999,-0.0252,3.15
tight_corkscrew,22,-2.5824,-0.2445,3.8144,-2.9624,-0.4732,3.3
tight_corkscrew,23,-2.4098,-0.6229,3.8413,-2.8585,-0.9106,3.45
tight_corkscrew,24,-2.7685,-1.2983,4.6812,-2.6903,-1.3276,3.6
tight_corkscrew,25,-2.4514,-1.5618,3.7123,-2.4617,-1.7147,3.75
tight_corkscrew,26,-2.2651,-2.9617,4.7558,-2.1778,-2.0633,3.9
tight_corkscrew,27,-2.1996,-2.6151,4.7273,-1.845,-2.3656,4.05
tight_corkscrew,28,-2.1769,-2.6063,3.9198,-1.4708,-2.6147,4.2
tight_corkscrew,29,-1.6165,-2.6204,3.9643,-1.0635,-2.8052,4.35
tight_corkscrew,30,-0.6634,-3.0614,4.8199,-0.6324,-2.9326,4.5
tight_corkscrew,31,0.4909,-3.3708,5.0785,-0.187,-2.9942,4.65
tight_corkscrew,32,0.0553,-3.0951,3.8548,0.2625,-2.9885,4.8
tight_corkscrew,33,0.3644,-3.0451,5.3582,0.7061,-2.9157,4.95
tight_corkscrew,34,1.2076,-2.6048,5.4656,1.1339,-2.7774,5.1
